Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
44682,BOOTH YARD,,,"(-79.3443166919273,43.6563295308317)",Staff
44885,BOOTH YARD,6,,"(-79.3423726436495,43.6558315147054)",Public
32225,BOTANY HILL PARK,20,1,"(-79.210209842135,43.777462894589)",Public
32576,BRIMLEY YARD,25,,"(-79.2455709769983,43.7314869370638)",Staff
32227,BROADLANDS PARK,28,4,"(-79.3227478619279,43.7461912953686)",Public
32226,BROADLANDS PARK,4,1,"(-79.323092605267,43.7458612615314)",Public
32228,BUDAPEST PARK,184,7,"(-79.4511064654614,43.6373019728985)",Public
32230,BUDAPEST PARK,,,"(-79.4468165517767,43.6366925316587)",Private
32231,BYNG PARK,104,4,"(-79.2847540944591,43.7009775057487)",Public
32232,CALEDONIA PARK,65,4,"(-79.4658253144254,43.7142267010468)",Public
49523,CALEDONIA PARK,28,,,
32428,CANADIAN UKRAINIAN MEMORIAL PARK,55,1,"(-79.5064582026188,43.685140182478)",Public
32233,CASSANDRA PARK,21,1,"(-79.3181552266633,43.7546362108511)",Public
32234,CEDAR BROOK PARK,57,2,"(-79.228155333423,43.755653792274)",Public
32235,CEDAR RIDGE PARK,41,2,"(-79.2082019935388,43.7580327672696)",Public
32236,CEDARVALE PARK,93,2,"(-79.4311420816518,43.6914049607085)",Public
58383,CENTENNIAL PARK - ETOBICOKE,80,,"(-79.5945806637185,43.6546006243346)",Public
49511,CENTENNIAL PARK - ETOBICOKE,4,,"(-79.5855212200294,43.6537715958102)",Public
49510,CENTENNIAL PARK - ETOBICOKE,94,,"(-79.5957933023437,43.6489272537005)",Public
49509,CENTENNIAL PARK - ETOBICOKE,88,,"(-79.5905039656636,43.649686866098)",Public
49508,CENTENNIAL PARK - ETOBICOKE,77,2,"(-79.58744367493,43.6487153107653)",Public
49506,CENTENNIAL PARK - ETOBICOKE,68,4,"(-79.5833269974024,43.6541264029505)",Public
49505,CENTENNIAL PARK - ETOBICOKE,95,,"(-79.5933470392479,43.6536760438135)",Public
49504,CENTENNIAL PARK - ETOBICOKE,27,,"(-79.5923067121389,43.6589918236566)",Public
32242,CENTENNIAL PARK - ETOBICOKE,69,7,"(-79.5839300519019,43.650743231935)",Public
32241,CENTENNIAL PARK - ETOBICOKE,434,3,"(-79.5832178567985,43.6522138190379)",Public
32240,CENTENNIAL PARK - ETOBICOKE,516,5,"(-79.5870460547403,43.6567325021258)",Public
32239,CENTENNIAL PARK - ETOBICOKE,103,2,"(-79.585353170426,43.6554697501719)",Public
32238,CENTENNIAL PARK - ETOBICOKE,26,3,"(-79.5848845347613,43.6550826844467)",Public
32237,CENTENNIAL PARK - ETOBICOKE,42,2,"(-79.5889856371681,43.6498580165074)",Public
32243,CHARLES SAURIOL CONSERVATION AREA,53,1,"(-79.3295457848831,43.7387950539051)",Public
44884,CHERRY BEACH CLARKE BEACH PARK,126,4,"(-79.3450072917615,43.6369756465899)",Public
44886,CHERRY BEACH CLARKE BEACH PARK,60,4,"(-79.3425552359836,43.6384237106326)",Public
44883,CHERRY BEACH SPORTS FIELDS,116,5,"(-79.3424133020543,43.6402494274593)",Public
32244,CHRISTIE PITS PARK,6,,"(-79.422549460422,43.6649846972739)",Public
32245,CLAIRLEA PARK,90,4,"(-79.28653872652,43.7151123684865)",Private
32246,CLOVERDALE PARK,33,0,"(-79.5450648103103,43.6331889732041)",Public
32247,COLONEL DANFORTH PARK,98,6,"(-79.1644963732653,43.7773720278975)",Public
32248,COLONEL DANFORTH PARK,20,1,"(-79.1762277479934,43.7796552223076)",Public
32251,COLONEL SAMUEL SMITH PARK,23,,"(-79.5120529065751,43.5959927376492)",Private
32250,COLONEL SAMUEL SMITH PARK,23,,"(-79.5113995299747,43.5960677530965)",Private
32249,COLONEL SAMUEL SMITH PARK,63,2,"(-79.5134334121964,43.5920756802102)",Public
32252,COMMANDER PARK,179,4,"(-79.2672260015025,43.7952474602334)",Public
32254,CONFEDERATION PARK,444,5,"(-79.2349943159292,43.7743839683927)",Public
32253,CONFEDERATION PARK,444,5,"(-79.2355478633174,43.7743282438212)",Public
45163,CORONATION PARK - ETOBICOKE,,,"(-79.4994743330933,43.6160145907673)",
32255,CORONATION PARK - TORONTO,20,1,"(-79.4044194887713,43.6342984395929)",Private
44686,CORONATION PARK - YORK,93,2,"(-79.4776917152325,43.69041621423)",Public
44685,CORONATION PARK - YORK,84,,"(-79.4789530965064,43.6916371311669)",Public
32256,COSBURN PARK,52,2,"(-79.3301001986079,43.6925045568205)",Public
32257,CUMMER PARK,139,4,"(-79.3709924241819,43.7994684469447)",Public
32570,DAVID A. BALFOUR PARK,6,,"(-79.3878399267793,43.687791085482)",Staff
32258,DENNIS FLYNN PARK,30,1,"(-79.5667636604915,43.6421622945551)",Public
32515,DENTONIA PARK GOLF COURSE,68,1,"(-79.2890890826524,43.6950117423475)",Private
32259,DERRYDOWNS PARK,58,1,"(-79.5050430926961,43.7589312378052)",Public
32260,DIEPPE PARK,64,3,"(-79.3351988337012,43.6922308821853)",Public
32530,DON MONTGOMERY COMMUNITY RECREATION CENTRE - Building Grounds,310,8,"(-79.2614982223775,43.7325182095817)",Private
32261,DON RUSSELL MEMORIAL PARK,56,4,"(-79.5214098134985,43.6012171228666)",Public
32510,DON VALLEY GOLF COURSE,156,2,"(-79.4085769469372,43.7479597090219)",Members
32549,DON VALLEY GOLF COURSE,6,,"(-79.4084972399308,43.7449460238946)",Public
32263,DOWNSVIEW DELLS PARK,50,1,"(-79.4968025492829,43.7354096167484)",Public
32269,DOWNSVIEW DELLS PARK,10,,"(-79.4961355372813,43.7417893469109)",Public
32264,DOWNSVIEW DELLS PARK,27,1,"(-79.4938924778602,43.7395444662204)",Public
32265,DOWNSVIEW DELLS PARK,9,,"(-79.4963457295865,43.7420576075557)",Public
32266,DOWNSVIEW DELLS PARK,27,1,"(-79.5106761908086,43.7322950226888)",Private
32267,DOWNSVIEW DELLS PARK,10,,"(-79.4962638689852,43.7415760989098)",Public
32268,DOWNSVIEW DELLS PARK,104,2,"(-79.5020445185738,43.7361668676819)",Public
32262,DOWNSVIEW PARK AND LAWN BOWLING GREENS,110,4,"(-79.5125597382697,43.7194008960937)",Public
32274,E.T. SETON PARK,200,2,"(-79.3502693935337,43.7162849229354)",Public
32273,E.T. SETON PARK,194,2,"(-79.3379353477705,43.703146809041)",Public
32270,E.T. SETON PARK,14,1,"(-79.3336384475078,43.7043478754768)",Public
32272,E.T. SETON PARK,134,1,"(-79.3351114872029,43.7057324291457)",Public
32275,E.T. SETON PARK,178,,"(-79.3368618118272,43.7077299790177)",Public
32271,E.T. SETON PARK,14,1,"(-79.3334890836345,43.7039345768338)",Public
32276,EARL BALES PARK,47,2,"(-79.4339395533481,43.7508571953224)",Public
32277,EARL BALES PARK,143,2,"(-79.4319114182422,43.7517013667479)",Public
32279,EARL BALES PARK,29,,"(-79.4301322652525,43.7567043447706)",Public
32280,EARL BALES PARK,117,13,"(-79.4351791177491,43.7543358555518)",Public
32278,EARL BALES PARK,48,2,"(-79.4350249588639,43.7521675149146)",Public
32282,EARLSCOURT PARK,20,,"(-79.4532339501301,43.6752800401253)",Staff
32283,EARLSCOURT PARK,20,,"(-79.4521021553359,43.6754000304268)",Staff
32281,EARLSCOURT PARK,21,,"(-79.4495285385756,43.6723101899774)",Staff
32284,EAST DON PARKLAND,45,2,"(-79.3653753083909,43.7722114479503)",Public
32285,EAST MALL PARK,23,0,"(-79.5573281515242,43.6413647034051)",Public
32286,EAST POINT PARK,155,6,"(-79.1625537719094,43.7609885982219)",Public
32287,EAST POINT PARK,107,4,"(-79.1519287773073,43.7632919351252)",Public
